"Step","stage2-uvit-20260526-011258 - epoch","stage2-uvit-20260526-011258 - epoch__MIN","stage2-uvit-20260526-011258 - epoch__MAX"
"4524","11","11","11"
"4527","11","11","11"
"4528","11","11","11"
"4535","11","11","11"
"4540","11","11","11"
"4548","11","11","11"
"4554","11","11","11"
"4560","11","11","11"
"4561","11","11","11"
"4565","11","11","11"
"4578","11","11","11"
"4580","11","11","11"
"4582","11","11","11"
"4583","11","11","11"
"4588","11","11","11"
"4608","11","11","11"
"4610","11","11","11"
"4619","11","11","11"
"4628","11","11","11"
"4632","11","11","11"
"4638","11","11","11"
"4640","11","11","11"
"4648","11","11","11"
"4649","11","11","11"
"4651","11","11","11"
"4652","11","11","11"
"4654","11","11","11"
"4659","11","11","11"
"4660","11","11","11"
"4662","11","11","11"
"4667","11","11","11"
"4673","11","11","11"
"4674","11","11","11"
"4675","11","11","11"
"4677","11","11","11"
"4678","11","11","11"
"4690","11","11","11"
"4695","11","11","11"
"4697","11","11","11"
"4706","11","11","11"
"4709","11","11","11"
"4716","11","11","11"
"4727","11","11","11"
"4728","11","11","11"
"4730","11","11","11"
"4735","11","11","11"
"4736","11","11","11"
"4751","11","11","11"
"4753","11","11","11"
"4757","11","11","11"
"4759","11","11","11"
"4763","11","11","11"
"4764","11","11","11"
"4774","11","11","11"
"4775","11","11","11"
"4776","11","11","11"
"4779","11","11","11"
"4791","11","11","11"
"4800","11","11","11"
"4801","11","11","11"
"4819","11","11","11"
"4823","11","11","11"
"4839","11","11","11"
"4840","11","11","11"
"4846","11","11","11"
"4861","11","11","11"
"4871","11","11","11"
"4876","11","11","11"
"4891","11","11","11"
"4894","11","11","11"
"4897","11","11","11"
"4902","11","11","11"
"4907","11","11","11"
"4910","11","11","11"
"4912","11","11","11"
"4918","11","11","11"
"4919","11","11","11"
"4920","11","11","11"
"4924","11","11","11"
"4926","11","11","11"
"4936","11","11","11"
"4938","11","11","11"
"4941","11","11","11"
"4943","11","11","11"
"4944","11","11","11"
"4951","11","11","11"
"4952","11","11","11"
"4958","11","11","11"
"4964","11","11","11"
"4968","11","11","11"
"4969","11","11","11"
"4975","11","11","11"
"4980","11","11","11"
"4984","11","11","11"
"4999","11","11","11"
"5001","11","11","11"
"5005","11","11","11"
"5016","11","11","11"
"5020","11","11","11"
"5022","11","11","11"
"5025","11","11","11"
"5036","11","11","11"
"5038","11","11","11"
"5039","11","11","11"
"5041","11","11","11"
"5042","11","11","11"
"5049","11","11","11"
"5052","11","11","11"
"5054","11","11","11"
"5057","11","11","11"
"5061","11","11","11"
"5063","11","11","11"
"5066","11","11","11"
"5075","11","11","11"
"5077","11","11","11"
"5079","11","11","11"
"5087","11","11","11"
"5092","11","11","11"
"5094","11","11","11"
"5105","11","11","11"
"5114","11","11","11"
"5124","11","11","11"
"5129","11","11","11"
"5132","11","11","11"
"5141","11","11","11"
"5143","11","11","11"
"5144","11","11","11"
"5146","11","11","11"
"5151","11","11","11"
"5159","11","11","11"
"5165","11","11","11"
"5168","11","11","11"
"5169","11","11","11"
"5171","11","11","11"
"5173","11","11","11"
"5180","11","11","11"
"5183","11","11","11"
"5184","11","11","11"
"5192","11","11","11"
"5202","11","11","11"
"5208","11","11","11"
"5211","11","11","11"
"5219","11","11","11"
"5234","11","11","11"
"5240","11","11","11"
"5241","11","11","11"
"5243","11","11","11"
"5249","11","11","11"
"5256","11","11","11"
"5261","11","11","11"
"5262","11","11","11"
"5267","11","11","11"
"5268","11","11","11"
"5269","11","11","11"
"5274","11","11","11"
"5285","11","11","11"
"5286","11","11","11"
"5288","11","11","11"
"5295","11","11","11"
"5297","11","11","11"
"5303","11","11","11"
"5305","11","11","11"
"5314","11","11","11"
"5319","11","11","11"
"5323","11","11","11"
"5328","11","11","11"
"5332","11","11","11"
"5334","11","11","11"
"5336","11","11","11"
"5337","11","11","11"
"5341","11","11","11"
"5343","11","11","11"
"5344","11","11","11"
"5347","11","11","11"
"5349","11","11","11"
"5350","11","11","11"
"5356","11","11","11"
"5359","11","11","11"
"5361","11","11","11"
"5362","11","11","11"
"5370","11","11","11"
"5380","11","11","11"
"5389","11","11","11"
"5391","11","11","11"
"5393","11","11","11"
"5396","11","11","11"
"5397","11","11","11"
"5399","11","11","11"
"5413","11","11","11"
"5417","11","11","11"
"5420","11","11","11"
"5422","11","11","11"
"5424","11","11","11"
"5428","11","11","11"
"5429","11","11","11"
"5432","11","11","11"
"5435","11","11","11"
"5436","11","11","11"
"5438","11","11","11"
"5439","11","11","11"
"5440","11","11","11"
"5444","11","11","11"
"5445","11","11","11"
"5447","11","11","11"
"5450","11","11","11"
"5460","11","11","11"
"5474","11","11","11"
"5484","11","11","11"
"5487","11","11","11"
"5501","11","11","11"
"5518","11","11","11"
"5521","11","11","11"
"5534","11","11","11"
"5536","11","11","11"
"5545","11","11","11"
"5546","11","11","11"
"5548","11","11","11"
"5562","11","11","11"
"5571","11","11","11"
"5582","11","11","11"
"5584","11","11","11"
"5588","11","11","11"
"5589","11","11","11"
"5593","11","11","11"
"5594","11","11","11"
"5597","11","11","11"
"5605","11","11","11"
"5609","11","11","11"
"5614","11","11","11"
"5615","11","11","11"
"5617","11","11","11"
"5622","11","11","11"
"5626","11","11","11"
"5629","11","11","11"
"5630","11","11","11"
"5635","11","11","11"
"5641","11","11","11"
"5645","11","11","11"
"5646","11","11","11"
"5649","11","11","11"
"5654","11","11","11"
"5662","11","11","11"
"5665","11","11","11"
"5682","11","11","11"
"5684","11","11","11"
"5686","11","11","11"
"5711","11","11","11"
"5715","11","11","11"
"5722","11","11","11"
"5742","11","11","11"
"5745","11","11","11"
"5754","11","11","11"
"5756","11","11","11"
"5757","11","11","11"
"5758","11","11","11"
"5761","11","11","11"
"5765","11","11","11"
"5766","11","11","11"
"5770","11","11","11"
"5773","11","11","11"
"5774","11","11","11"
"5779","11","11","11"
"5786","11","11","11"
"5796","11","11","11"
"5797","11","11","11"
"5801","11","11","11"
"5802","11","11","11"
"5808","11","11","11"
"5818","11","11","11"
"5825","11","11","11"
"5831","11","11","11"
"5836","11","11","11"
"5848","11","11","11"
"5849","11","11","11"
"5853","11","11","11"
"5856","11","11","11"
"5864","11","11","11"
"5868","11","11","11"
"5877","11","11","11"
"5880","11","11","11"
"5884","11","11","11"
"5887","11","11","11"
"5890","11","11","11"
"5891","11","11","11"
"5902","11","11","11"
"5905","11","11","11"
"5909","11","11","11"
"5910","11","11","11"
"5916","11","11","11"
"5923","11","11","11"
"5928","11","11","11"
"5931","11","11","11"
"5937","11","11","11"
"5938","11","11","11"
"5941","11","11","11"
"5943","11","11","11"
"5945","11","11","11"
"5948","11","11","11"
"5957","11","11","11"
"5960","11","11","11"
"5967","11","11","11"
"5969","11","11","11"
"5973","11","11","11"
"5976","11","11","11"
